20:22:53.784 [main] INFO  com.karach.xmlproject.reader.XMLReader - Tourist Voucher ID: 241
20:22:53.790 [main] INFO  com.karach.xmlproject.reader.XMLReader - Type: pilgrimage
20:22:53.790 [main] INFO  com.karach.xmlproject.reader.XMLReader - Country: Israel
20:22:53.790 [main] INFO  com.karach.xmlproject.reader.XMLReader - ------------------------------
20:23:25.760 [main] INFO  com.karach.xmlproject.reader.XMLReader - Tourist Voucher ID: 716
20:23:25.763 [main] INFO  com.karach.xmlproject.reader.XMLReader - Type: vacation
20:23:25.763 [main] INFO  com.karach.xmlproject.reader.XMLReader - Country: Spain
20:23:25.764 [main] INFO  com.karach.xmlproject.reader.XMLReader - Tourist Voucher ID: 100
20:23:25.764 [main] INFO  com.karach.xmlproject.reader.XMLReader - Type: excursion
20:23:25.765 [main] INFO  com.karach.xmlproject.reader.XMLReader - Country: Poland
20:23:25.765 [main] INFO  com.karach.xmlproject.reader.XMLReader - Tourist Voucher ID: 79
20:23:25.765 [main] INFO  com.karach.xmlproject.reader.XMLReader - Type: weekend
